,Unnamed: 0.1,Unnamed: 0,transcription,recognized,phonetic_ev,new_path,lang
29,29,37,Nyerdyepǣdariqnyanamăncăradmh,ɲøːvɛpwizid͡ʑinatmɔsɾa,1.0,/home/kesha/dev/uni/kursach/refs/asr/new_audio/37.wav,yrk
30,30,38,"Tădtikaădtayna,tyukutaqălʹnyanamăncăradmh,tăinkihnyakunamǣwacʹ",ǃätkät͡skuːto̞nmämzndäɸɯlkinakummäwä,1.0,/home/kesha/dev/uni/kursach/refs/asr/new_audio/38.wav,yrk
31,31,39,"Ta,tităryemhmăncăraqmaădănaqsyanawpoǣnyaki",dat͡ɕitrɔmo̞somǃo̞iiky,1.0,/home/kesha/dev/uni/kursach/refs/asr/new_audio/39.wav,yrk
32,32,40,"Ti,siqiwyuqŋămgǣǣwpoona,yekar"".",d͡ʑçigɔnɕigɑ,1.0,/home/kesha/dev/uni/kursach/refs/asr/new_audio/40.wav,yrk
33,33,41,"Siqiwyuqmăt""poŋǣwiŋǣbtă",ʑimoǃomjua,0.6044880785413744,/home/kesha/dev/uni/kursach/refs/asr/new_audio/41.wav,yrk
34,34,42,Tamălyaŋgănanyerdyenyaŋăcyeki,mɲɛvwɔt͡skɛ,1.0,/home/kesha/dev/uni/kursach/refs/asr/new_audio/42.wav,yrk
35,35,43,nyeŋăcyekǣminyaărpoypodasʹ,ɲɛɑskemɨɲaǃujo,0.5080645161290323,/home/kesha/dev/uni/kursach/refs/asr/new_audio/43.wav,yrk
36,36,44,Titinaqwǣwakoabcyaŋgănaaq.,d͡ʑetɯːnɨæːko̞hɑpt͡sɯkɑn,1.0,/home/kesha/dev/uni/kursach/refs/asr/new_audio/44.wav,yrk
37,37,45,Lucahwadawnamancʹsibirskiyyacwaănaaq,uso̞no̞no̞mät͡siɕibiskijäsgon,1.0,/home/kesha/dev/uni/kursach/refs/asr/new_audio/45.wav,yrk
38,38,47,"Timălyaŋgi,tamălyaŋgǣǣdmăncărawi,măncaratyedahtiŋudiniŋǣyaq,",mtɔdɔǃǃ,0.8887096774193548,/home/kesha/dev/uni/kursach/refs/asr/new_audio/47.wav,yrk
39,39,48,ŋǣniŋodʹbyatohwǣwaqŋǣqnimh,,1.0,/home/kesha/dev/uni/kursach/refs/asr/new_audio/48.wav,yrk
40,40,49,oyhniymhyadrisyurtyeqnisăwawh,jɑːzisuɬ,0.7764182424916574,/home/kesha/dev/uni/kursach/refs/asr/new_audio/49.wav,yrk
41,41,50,"Titamălyaŋgănatyeda'tităryemhŋǣqnyuh,nyerdyenyayanhŋǣsuqniwamh,",d͡ʑǃɔinɬiɬtɯiɕɬiɲøde̞jɑgɯɬido̞ː,1.0,/home/kesha/dev/uni/kursach/refs/asr/new_audio/50.wav,yrk
42,42,52,Tikimǣǣnaŋănihraciyawaqyaŋgu,,1.0,/home/kesha/dev/uni/kursach/refs/asr/new_audio/52.wav,yrk
43,43,54,"Tibrigadirwaq,",ǃ,0.9308755760368664,/home/kesha/dev/uni/kursach/refs/asr/new_audio/54.wav,yrk
44,44,55,"tahŋănihtakinyenǣcyamhŋǣdătambapyasyǎti,",aɳtkinanǀawa,0.7159716758457907,/home/kesha/dev/uni/kursach/refs/asr/new_audio/55.wav,yrk
45,45,56,tʃtobtakiraciyasawǣynyenǣcyaŋgqmancʹǣsyǎtiwa,ǃǃǃǃuǀa,0.8530465949820789,/home/kesha/dev/uni/kursach/refs/asr/new_audio/56.wav,yrk
46,46,57,tinaqtăryemhăyaq.,,1.0,/home/kesha/dev/uni/kursach/refs/asr/new_audio/57.wav,yrk
47,47,58,Tikiqŋuliqlǣkdaq.,ǃǃewɛǃ,0.6783681214421253,/home/kesha/dev/uni/kursach/refs/asr/new_audio/58.wav,yrk
48,48,59,"Maqnyu"":""Tărcyayadyembădăăna",maɲutɔtɛzɛtjasvɔlnɛ,0.4256912442396313,/home/kesha/dev/uni/kursach/refs/asr/new_audio/59.wav,yrk
49,49,61,"Tădtikaădtibrigadirmimaqnyu"":",avkat͡ɕikuvidɔd͡ʑimwaɲu,1.0,/home/kesha/dev/uni/kursach/refs/asr/new_audio/61.wav,yrk
50,50,62,"""Mănihsitnyahǣǣnih",uɲit͡sɔkɲɔ,1.0,/home/kesha/dev/uni/kursach/refs/asr/new_audio/62.wav,yrk
51,51,63,"titakidalʹniyarkaŋǣsinh,",ǃǃdanjioǃs,0.6102150537634409,/home/kesha/dev/uni/kursach/refs/asr/new_audio/63.wav,yrk
52,52,64,"tănyanaraciyadohtanyawa""",ǃɑǃy,0.8387096774193549,/home/kesha/dev/uni/kursach/refs/asr/new_audio/64.wav,yrk
53,53,65,"Mǣtitănya'ăyanih,ŋuliqyadyembi",ǃǃidajj,0.7881720430107528,/home/kesha/dev/uni/kursach/refs/asr/new_audio/65.wav,yrk
54,54,66,"Ŋobhpyaaya,tănyahtǣwinihtikikakrac",jɛjdɨɲɔbjuwǃǃ,0.668406072106262,/home/kesha/dev/uni/kursach/refs/asr/new_audio/66.wav,yrk
55,55,67,pǣwsyumnyaŋiraciyahlaănawamhtǣwamih,ǃosǃɬwdoː,0.7622119815668202,/home/kesha/dev/uni/kursach/refs/asr/new_audio/67.wav,yrk
56,56,68,Tiraciyaănamaq.,ǃata,0.7419354838709677,/home/kesha/dev/uni/kursach/refs/asr/new_audio/68.wav,yrk
57,57,69,"Tikādtikariinapǣwsyumnyanasaltqninyu""tikiq",gät͡ɕkrimo̞kwe̞snt͡sɔ,1.0,/home/kesha/dev/uni/kursach/refs/asr/new_audio/69.wav,yrk
58,58,70,tikiqtănyanamǣnaqtikitiqlyekarmh,täɲɛmo̞mono̞t͡skɯt͡sijagɑ,1.0,/home/kesha/dev/uni/kursach/refs/asr/new_audio/70.wav,yrk
59,59,71,raciyasawǣyqmyaknihsolamih,rat͡sɛ̃suɛmjakuxuwä,1.0,/home/kesha/dev/uni/kursach/refs/asr/new_audio/71.wav,yrk
60,60,72,"Timyadoqmănayadǣrŋa,",inawjjǃ,0.6935483870967741,/home/kesha/dev/uni/kursach/refs/asr/new_audio/72.wav,yrk
61,61,73,tamălyaŋgănaŋawodănaacyanawahsyeŋgq,nät͡ɕino̞ːɕi,1.0,/home/kesha/dev/uni/kursach/refs/asr/new_audio/73.wav,yrk
62,62,76,Myaknaqŋodhtǣwiwaq,naktu,0.7293906810035842,/home/kesha/dev/uni/kursach/refs/asr/new_audio/76.wav,yrk
63,63,77,"Mănʹsămlyaŋgtimhmǣqŋaqdamcʹ,",sobrt,0.8341013824884792,/home/kesha/dev/uni/kursach/refs/asr/new_audio/77.wav,yrk
64,64,78,Nyaărqtǣmihmyaknihtǣwqmaqriidanihpihminandohawiq.,tnæbindɛulinpibo,0.6853192890059251,/home/kesha/dev/uni/kursach/refs/asr/new_audio/78.wav,yrk
65,65,79,Tadkădtikitayadtawitikitiqlyekar',ǃigät͡ɕitäjtäd͡ʑitinɯgä,0.4017595307917888,/home/kesha/dev/uni/kursach/refs/asr/new_audio/79.wav,yrk
66,66,80,tipyelyeytadaăbtadaŋănihawi,ǃinpeːjeːtænhɑːbːɲ,0.4719235364396653,/home/kesha/dev/uni/kursach/refs/asr/new_audio/80.wav,yrk
67,67,81,"Mimyerhnuliqmyeryesqnyu"",",beːs,0.8825806451612902,/home/kesha/dev/uni/kursach/refs/asr/new_audio/81.wav,yrk
68,68,82,"tikiabcyangawtărcyaŋǣwisʹ,mănʹărqnisǣwaqnanimanǣsqnisawawh",mtɬse̞wninasis,1.0,/home/kesha/dev/uni/kursach/refs/asr/new_audio/82.wav,yrk
69,69,83,Tărsihmintaartnianash.,taǃ,0.8651026392961877,/home/kesha/dev/uni/kursach/refs/asr/new_audio/83.wav,yrk
70,70,84,Ŋanyerdyenyaănanda,ajaɾjamt̪eʈːu,1.0,/home/kesha/dev/uni/kursach/refs/asr/new_audio/84.wav,yrk
71,71,85,mǣnhŋǣsiwaqŋobhyanh,munme̞suːo̞ːjo̞n,1.0,/home/kesha/dev/uni/kursach/refs/asr/new_audio/85.wav,yrk
72,72,87,Sabyeponhniwacʹmǣŋguq.,ɬɯɻjɛbuːjːɾɬmu,0.4802052785923754,/home/kesha/dev/uni/kursach/refs/asr/new_audio/87.wav,yrk
73,73,88,"Tătăŋămgǣǣwtohwar,",aǃǃoo,0.746415770609319,/home/kesha/dev/uni/kursach/refs/asr/new_audio/88.wav,yrk
74,74,89,ŋatyukorkaănanyaărqalʹmyer.,vkamɛnar,0.7192353643966548,/home/kesha/dev/uni/kursach/refs/asr/new_audio/89.wav,yrk
75,75,90,"Tikipaddyenaqtiqtikisyanyaŋorǣyhtădtăryemhanqŋaq,ti",ǃoʑiotiskisɑndolotoo,0.6315623023402911,/home/kesha/dev/uni/kursach/refs/asr/new_audio/90.wav,yrk
76,76,91,tyuquyyahobamhăbărŋadoh.,ǃt,0.9193548387096774,/home/kesha/dev/uni/kursach/refs/asr/new_audio/91.wav,yrk
77,77,92,"Tăkadtădsilasyatiwa""manbtǣwiqyahobamhabrawaq",ǃɑtsuːstuǃjo,0.7426686217008797,/home/kesha/dev/uni/kursach/refs/asr/new_audio/92.wav,yrk
78,78,96,tămnaŋobkădpyeryeq.,nǃǃj,0.8115449915110357,/home/kesha/dev/uni/kursach/refs/asr/new_audio/96.wav,yrk
79,79,97,Tikādwǣnyekudŋǣyaq,ǃaǃnibuɬɛjɛ,0.4731182795698924,/home/kesha/dev/uni/kursach/refs/asr/new_audio/97.wav,yrk
80,80,98,"Tiqŋǣyaq,mimandohsyerh",jetyŋɛjojojmǃuço,0.4156891495601172,/home/kesha/dev/uni/kursach/refs/asr/new_audio/98.wav,yrk
81,81,99,"tăryemhtikilimhsyakălpaāndaq,tăryemhyadǣrŋaq",ǃsɑdat,0.8658357771260996,/home/kesha/dev/uni/kursach/refs/asr/new_audio/99.wav,yrk
82,82,100,Mǣŋǣtikipihtyaahŋobhmǣqyaq,ɸid͡ʑaj,1.0,/home/kesha/dev/uni/kursach/refs/asr/new_audio/100.wav,yrk
83,83,102,Ŋǣyatikaănaayoya.,s,0.9449715370018974,/home/kesha/dev/uni/kursach/refs/asr/new_audio/102.wav,yrk
84,84,103,Yedǣyyanhyamdǣynaq.,,1.0,/home/kesha/dev/uni/kursach/refs/asr/new_audio/103.wav,yrk
85,85,104,Tădyedǣyyanhŋamdwamiti,tujɛd͡zɛjɔnɔdunki,1.0,/home/kesha/dev/uni/kursach/refs/asr/new_audio/104.wav,yrk
86,86,106,mănʹŋobhmǣtaqyaqmiăbtqyamia.,go̞d͡ʑnaːdjjaː,1.0,/home/kesha/dev/uni/kursach/refs/asr/new_audio/106.wav,yrk
87,87,107,Takădandalusatiŋǣqniwaq,set͡s,1.0,/home/kesha/dev/uni/kursach/refs/asr/new_audio/107.wav,yrk
88,88,108,"wot,ti",,1.0,/home/kesha/dev/uni/kursach/refs/asr/new_audio/108.wav,yrk
89,89,109,tiqnaqlyekarăkoqyaqpraktikantămgǣmhtyenyewa?!,gjgod͡ʑiǃǃǃ,1.0,/home/kesha/dev/uni/kursach/refs/asr/new_audio/109.wav,yrk
90,90,110,"Brigadirmaqnyu"",ămgǣ",,1.0,/home/kesha/dev/uni/kursach/refs/asr/new_audio/110.wav,yrk
91,91,111,"maqnyu"":«ăbărcʹnyu""tara"",",hhǃtɑ,0.8206451612903226,/home/kesha/dev/uni/kursach/refs/asr/new_audio/111.wav,yrk
92,92,112,tʃtobimyuydamănǣqmăncʹ.Tikandautʃyerqayoda?»,d͡ʑtat͡smd͡ʑɔ,1.0,/home/kesha/dev/uni/kursach/refs/asr/new_audio/112.wav,yrk
93,93,113,"Nu,mănyaqăbărŋawaqtikitimh.",,1.0,/home/kesha/dev/uni/kursach/refs/asr/new_audio/113.wav,yrk
94,94,114,"Praktikantatǣrisircyǎtitiki,yekar,ŋămgǣǣnaawămdasyaaqmănǣqŋada.",,1.0,/home/kesha/dev/uni/kursach/refs/asr/new_audio/114.wav,yrk
95,95,115,"Timyuydapilikawandaămgǣǣwaăna,ti,",goŋdɔgɔ,0.8059628543499512,/home/kesha/dev/uni/kursach/refs/asr/new_audio/115.wav,yrk
96,96,116,sisyurăaŋǣsyǎti,çiss,0.7631048387096775,/home/kesha/dev/uni/kursach/refs/asr/new_audio/116.wav,yrk
97,97,117,"ăbărŋawaq,tăkapuna",,1.0,/home/kesha/dev/uni/kursach/refs/asr/new_audio/117.wav,yrk
98,98,118,tǣrityaakurkaqanawaq,jok,0.8612903225806452,/home/kesha/dev/uni/kursach/refs/asr/new_audio/118.wav,yrk
99,99,119,Tăkadpǣwsyumyanyanaŋăniqtiqtoq,ʋesnɑntito,0.6838709677419355,/home/kesha/dev/uni/kursach/refs/asr/new_audio/119.wav,yrk
100,100,120,Tăkaănihmyakădwadawiŋawkakoqyawatanyawasʹ,naknɔkukjte̞was,1.0,/home/kesha/dev/uni/kursach/refs/asr/new_audio/120.wav,yrk
101,101,121,Tikacyaiŋănihmăntǣyq.,kikɯt͡ɕinmänte̞j,1.0,/home/kesha/dev/uni/kursach/refs/asr/new_audio/121.wav,yrk
102,102,122,Miŋǣyatikaawmhmaldyoyŋǣtaminniŋănihnyeri,eǀgamlwɛt,0.7838709677419354,/home/kesha/dev/uni/kursach/refs/asr/new_audio/122.wav,yrk
103,103,123,tihaqmahǣwănhmow,ǃiːǃama,0.625,/home/kesha/dev/uni/kursach/refs/asr/new_audio/123.wav,yrk
104,104,124,"Tăkaădubtaănatădyurkinaq,",ǃɑt,0.8838709677419354,/home/kesha/dev/uni/kursach/refs/asr/new_audio/124.wav,yrk
105,105,125,"ŋobhtiwǣnyekohsyertohnyu""ŋaq,nidtanyanaŋōrmiq",ɬoːːnːsjoɲutɲ,0.7376344086021506,/home/kesha/dev/uni/kursach/refs/asr/new_audio/125.wav,yrk
106,106,126,Tădtănyadtoqtadtătăryemtiposawidh,toǃøǃøǃǃ,0.7683284457478005,/home/kesha/dev/uni/kursach/refs/asr/new_audio/126.wav,yrk
107,107,127,ănyanido'sraculyeǣbtǣyadh.,ǃǃsujaǃɛj,0.6854838709677419,/home/kesha/dev/uni/kursach/refs/asr/new_audio/127.wav,yrk
108,108,128,Titădtikaădătʃyerqmǣŋgunaq.,,1.0,/home/kesha/dev/uni/kursach/refs/asr/new_audio/128.wav,yrk
109,109,129,Ŋodʹbyaqnaqtikitikihpudtiŋǣdalyotayhraciyamhosăyaǣqnihwamh.,ägɯde̞t͡ɕibiigɯuːit͡ɕːmmɯno̞täjwäto̞ːz,1.0,/home/kesha/dev/uni/kursach/refs/asr/new_audio/129.wav,yrk
110,110,131,"Nu,pokatakiraciyamhosayawan'",magugdːs,0.7661290322580646,/home/kesha/dev/uni/kursach/refs/asr/new_audio/131.wav,yrk
111,111,132,timălyesyanaw,ǃmulǀɑ,0.5732009925558312,/home/kesha/dev/uni/kursach/refs/asr/new_audio/132.wav,yrk
112,112,133,tiaqtiki.,ǃǃː,0.6738351254480287,/home/kesha/dev/uni/kursach/refs/asr/new_audio/133.wav,yrk
113,113,134,Ŋǣyatădkadraciyaănanămdqmaădandohlucaqtoŋowq.,ǃt͡simɔdsuǃ,1.0,/home/kesha/dev/uni/kursach/refs/asr/new_audio/134.wav,yrk
114,114,135,"Mănyaqmyaqmaqniwidohurkaădtaq,yaŋgănyaŋǣsin'mǣrkawidoh",d͡ʑmo̞ntjo̞gɾigɯsɯmuku,1.0,/home/kesha/dev/uni/kursach/refs/asr/new_audio/135.wav,yrk
115,115,136,Tănyadŋǣdalyorkataydoh.,ǃo̞kɑtj,1.0,/home/kesha/dev/uni/kursach/refs/asr/new_audio/136.wav,yrk
116,116,137,"Myadhǣwarkanhaqawrawidoh,",nɔjɛwǃɔǃa,0.6748387096774193,/home/kesha/dev/uni/kursach/refs/asr/new_audio/137.wav,yrk
117,117,138,tikapunyahsălmidh.,,1.0,/home/kesha/dev/uni/kursach/refs/asr/new_audio/138.wav,yrk
118,118,139,"Lucidyadato""",ǃǃjɑǃɑto,0.3924731182795698,/home/kesha/dev/uni/kursach/refs/asr/new_audio/139.wav,yrk
119,119,140,"Tyeda'timanasalan,gu""ni""im'.",ǃety,0.8594470046082948,/home/kesha/dev/uni/kursach/refs/asr/new_audio/140.wav,yrk
120,120,141,"Tikatǣwma""riidando'ŋobtiki""ti""nyenǣcyandaryew'",ɑte̞mortuǃuyǃǃynuǃǀ,1.0,/home/kesha/dev/uni/kursach/refs/asr/new_audio/141.wav,yrk
121,121,142,"mido'tyuku""tyempyeraturido'",d͡ʑgjodu,1.0,/home/kesha/dev/uni/kursach/refs/asr/new_audio/142.wav,yrk
122,122,143,"orpapya"",",horgaj,0.528673835125448,/home/kesha/dev/uni/kursach/refs/asr/new_audio/143.wav,yrk
123,123,144,"nya""marpapya""",,1.0,/home/kesha/dev/uni/kursach/refs/asr/new_audio/144.wav,yrk
124,124,145,Ŋǣyatikaorpido',,1.0,/home/kesha/dev/uni/kursach/refs/asr/new_audio/145.wav,yrk
125,125,146,"Tăkata""ălʹnamadmamǣŋgu""",kɑtɑʋ,0.7938288920056101,/home/kesha/dev/uni/kursach/refs/asr/new_audio/146.wav,yrk
126,126,147,"tatămnamantir""ni""matikitina"".",,1.0,/home/kesha/dev/uni/kursach/refs/asr/new_audio/147.wav,yrk
127,127,148,"Takadbrigadirăn'ma""ni""im':",ǃɲoʋɑn,0.7866004962779157,/home/kesha/dev/uni/kursach/refs/asr/new_audio/148.wav,yrk
128,128,149,"""Tyeda'săwamyestadamdpyul-ina,",kɑsomjɑstɑǃu,0.6317204301075269,/home/kesha/dev/uni/kursach/refs/asr/new_audio/149.wav,yrk
129,129,150,"titʃtobtanyanapon'mǣŋguwa""koralʹmǣcʹtara""",t͡sggu,1.0,/home/kesha/dev/uni/kursach/refs/asr/new_audio/150.wav,yrk
130,130,151,"Tărcyamyestadăwa""owa""tanya'ŋǣsiwa""",,1.0,/home/kesha/dev/uni/kursach/refs/asr/new_audio/151.wav,yrk
131,131,153,"takadkoralyadăwa""",,1.0,/home/kesha/dev/uni/kursach/refs/asr/new_audio/153.wav,yrk
132,132,154,"pyaŋgu""pyaŋgu""ni""wa""am'.",,1.0,/home/kesha/dev/uni/kursach/refs/asr/new_audio/154.wav,yrk
133,133,155,"Titădŋăniabidtyeǣ,",jetaːniuːkʲɛː,0.4345878136200716,/home/kesha/dev/uni/kursach/refs/asr/new_audio/155.wav,yrk
134,134,156,"tyeǣtikiyamda""ma""wa""myadi'nyana",t͡ɕɛːɬyjɔmdɔmɔwuɲɔzmiɲan,1.0,/home/kesha/dev/uni/kursach/refs/asr/new_audio/156.wav,yrk
135,135,157,"abǣyŋǣai"".",hɑbujna,0.4870967741935484,/home/kesha/dev/uni/kursach/refs/asr/new_audio/157.wav,yrk
136,136,158,"Tămnanyerdyetolawdawǣy""ŋǣ""ni""im"",yat'syaari'ŋok""ŋǣdaki""",ɲɛkto̞bːɛtsɾi,1.0,/home/kesha/dev/uni/kursach/refs/asr/new_audio/158.wav,yrk
137,137,159,"Mănya""taynatikoralʹm'syertawa"".",td͡ʑikd͡ʑata,1.0,/home/kesha/dev/uni/kursach/refs/asr/new_audio/159.wav,yrk
138,138,160,"Koralʹ'myudtămnasyanawtia"".",ǃsɑ,0.8924731182795698,/home/kesha/dev/uni/kursach/refs/asr/new_audio/160.wav,yrk
139,139,161,"Tădtikaawaădmaddye""nidum'mal'.",s,0.9688172043010752,/home/kesha/dev/uni/kursach/refs/asr/new_audio/161.wav,yrk
140,140,162,"Tădkadtikimi""oy'ni'tikit",e̞mät͡smi,1.0,/home/kesha/dev/uni/kursach/refs/asr/new_audio/162.wav,yrk
141,141,163,"nyenǣynyenǣcya""lyekar""to"".",d͡ʑo̞wjo̞gɑäɾto̞,1.0,/home/kesha/dev/uni/kursach/refs/asr/new_audio/163.wav,yrk
142,142,164,Tyeda'taykuyŋobto'Karaulădŋǣda,k,0.9666666666666668,/home/kesha/dev/uni/kursach/refs/asr/new_audio/164.wav,yrk
143,143,165,"tikaădtiti""lyekarŋobtikitaykuymǣǣdDudinkaădŋǣda",gɑǃwɑǃyǃɑed,0.7783115991763898,/home/kesha/dev/uni/kursach/refs/asr/new_audio/165.wav,yrk
144,144,166,Tiwǣsăkodaŋăni'taykuyDudinka',n,0.9655172413793104,/home/kesha/dev/uni/kursach/refs/asr/new_audio/166.wav,yrk
145,145,167,wyetstanciya'nyaadŋǣdasʹ.,ɛst͡ɕaɬej,1.0,/home/kesha/dev/uni/kursach/refs/asr/new_audio/167.wav,yrk
146,146,168,Tipuucyadatamindaoy'ninamǣ.,d͡ʑtadu,1.0,/home/kesha/dev/uni/kursach/refs/asr/new_audio/168.wav,yrk
147,147,169,"ubtiirimi""",jo,0.8387096774193548,/home/kesha/dev/uni/kursach/refs/asr/new_audio/169.wav,yrk
148,148,170,"si""iwtʃasănayurkorŋa"",",ɬid͡ʑɔsɡu,1.0,/home/kesha/dev/uni/kursach/refs/asr/new_audio/170.wav,yrk
149,149,171,"asawayu""tʃas'yolʹcyand'",ǃd͡ʑɔɬɬun,1.0,/home/kesha/dev/uni/kursach/refs/asr/new_audio/171.wav,yrk
150,150,172,"tiki""nyenǣciye""tyempyeraturionrambi"",orpi.",t͡ɕiːd͡ʑiǃd,1.0,/home/kesha/dev/uni/kursach/refs/asr/new_audio/172.wav,yrk
151,151,173,"ibya'tyempyeraturadatanya,",ɟ,0.968362282878412,/home/kesha/dev/uni/kursach/refs/asr/new_audio/173.wav,yrk
152,152,174,"tikiubt...samolyetăramb""na""tyukuposyelkăădubtiirimalyeasawayu""tʃasănaturŋa.",ǃsdsud͡ʑɑsa,1.0,/home/kesha/dev/uni/kursach/refs/asr/new_audio/174.wav,yrk
153,153,176,"Yeslityempyeraturadayaŋgoda,tikartimiwuniŋa"".",,1.0,/home/kesha/dev/uni/kursach/refs/asr/new_audio/176.wav,yrk
154,154,177,"Tikadtimita""alʹnyasidnamǣ""maadando'ti",ǃǃlmɑdd͡ʑi,1.0,/home/kesha/dev/uni/kursach/refs/asr/new_audio/177.wav,yrk
155,155,178,"ŋaniŋǣsina""tyer""tyukumǣǣnaai""",senɬøǃl,0.7697441601779754,/home/kesha/dev/uni/kursach/refs/asr/new_audio/178.wav,yrk
156,156,179,ŋǣsiinando'.,,1.0,/home/kesha/dev/uni/kursach/refs/asr/new_audio/179.wav,yrk
